Sales per customer,Category Name,Customer Country,Customer Id,Department Name,Market,Order Country,Order Item Product Price,Sales,Order Profit Per Order,Order Region,Product Name,Product Price
314.6400146,Sporting Goods,Puerto Rico,20755,Fitness,Pacific Asia,Indonesia,327.75,327.75,91.25,Southeast Asia,Smart watch,327.75
311.3599854,Sporting Goods,Puerto Rico,19492,Fitness,Pacific Asia,India,327.75,327.75,-249.0899963,South Asia,Smart watch,327.75
309.7200012,Sporting Goods,EE. UU.,19491,Fitness,Pacific Asia,India,327.75,327.75,-247.7799988,South Asia,Smart watch,327.75
304.8099976,Sporting Goods,EE. UU.,19490,Fitness,Pacific Asia,Australia,327.75,327.75,22.86000061,Oceania,Smart watch,327.75
298.25,Sporting Goods,Puerto Rico,19489,Fitness,Pacific Asia,Australia,327.75,327.75,134.2100067,Oceania,Smart watch,327.75
294.980011,Sporting Goods,EE. UU.,19488,Fitness,Pacific Asia,Australia,327.75,327.75,18.57999992,Oceania,Smart watch,327.75
288.4200134,Sporting Goods,Puerto Rico,19487,Fitness,Pacific Asia,China,327.75,327.75,95.18000031,Eastern Asia,Smart watch,327.75
285.1400146,Sporting Goods,EE. UU.,19486,Fitness,Pacific Asia,China,327.75,327.75,68.43000031,Eastern Asia,Smart watch,327.75
278.5899963,Sporting Goods,Puerto Rico,19485,Fitness,Pacific Asia,China,327.75,327.75,133.7200012,Eastern Asia,Smart watch,327.75
275.3099976,Sporting Goods,EE. UU.,19484,Fitness,Pacific Asia,China,327.75,327.75,132.1499939,Eastern Asia,Smart watch,327.75
272.0299988,Sporting Goods,Puerto Rico,19483,Fitness,Pacific Asia,Japón,327.75,327.75,130.5800018,Eastern Asia,Smart watch,327.75
268.7600098,Sporting Goods,EE. UU.,19482,Fitness,Pacific Asia,Indonesia,327.75,327.75,45.68999863,Southeast Asia,Smart watch,327.75
262.2000122,Sporting Goods,EE. UU.,19481,Fitness,Pacific Asia,Indonesia,327.75,327.75,21.76000023,Southeast Asia,Smart watch,327.75
245.8099976,Sporting Goods,Puerto Rico,19480,Fitness,Pacific Asia,India,327.75,327.75,24.57999992,South Asia,Smart watch,327.75
327.75,Sporting Goods,EE. UU.,19479,Fitness,Pacific Asia,India,327.75,327.75,16.38999939,South Asia,Smart watch,327.75
324.4700012,Sporting Goods,Puerto Rico,19478,Fitness,Pacific Asia,India,327.75,327.75,-259.5799866,South Asia,Smart watch,327.75
321.2000122,Sporting Goods,Puerto Rico,19477,Fitness,Pacific Asia,Corea del Sur,327.75,327.75,-246.3600006,Eastern Asia,Smart watch,327.75
317.9200134,Sporting Goods,EE. UU.,19476,Fitness,Pacific Asia,India,327.75,327.75,23.84000015,South Asia,Smart watch,327.75
314.6400146,Sporting Goods,Puerto Rico,19475,Fitness,Pacific Asia,India,327.75,327.75,102.2600021,South Asia,Smart watch,327.75
311.3599854,Sporting Goods,EE. UU.,19474,Fitness,Pacific Asia,India,327.75,327.75,87.18000031,South Asia,Smart watch,327.75
309.7200012,Sporting Goods,EE. UU.,19473,Fitness,Pacific Asia,India,327.75,327.75,154.8600006,South Asia,Smart watch,327.75
304.8099976,Sporting Goods,Puerto Rico,19472,Fitness,Pacific Asia,India,327.75,327.75,82.30000305,South Asia,Smart watch,327.75
298.25,Sporting Goods,EE. UU.,19471,Fitness,Pacific Asia,Australia,327.75,327.75,22.37000084,Oceania,Smart watch,327.75
294.980011,Sporting Goods,Puerto Rico,19470,Fitness,Pacific Asia,Australia,327.75,327.75,17.70000076,Oceania,Smart watch,327.75
288.4200134,Sporting Goods,EE. UU.,19469,Fitness,Pacific Asia,Australia,327.75,327.75,90.27999878,Oceania,Smart watch,327.75
285.1400146,Sporting Goods,Puerto Rico,19468,Fitness,Pacific Asia,Australia,327.75,327.75,131.1699982,Oceania,Smart watch,327.75
278.5899963,Sporting Goods,EE. UU.,19467,Fitness,Pacific Asia,Australia,327.75,327.75,90.54000092,Oceania,Smart watch,327.75
275.3099976,Sporting Goods,Puerto Rico,19466,Fitness,Pacific Asia,China,327.75,327.75,82.58999634,Eastern Asia,Smart watch,327.75
272.0299988,Sporting Goods,EE. UU.,19465,Fitness,Pacific Asia,China,327.75,327.75,-17.13999939,Eastern Asia,Smart watch,327.75
268.7600098,Sporting Goods,EE. UU.,19464,Fitness,Pacific Asia,China,327.75,327.75,23.64999962,Eastern Asia,Smart watch,327.75
262.2000122,Sporting Goods,Puerto Rico,19463,Fitness,Pacific Asia,China,327.75,327.75,73.41999817,Eastern Asia,Smart watch,327.75
245.8099976,Sporting Goods,EE. UU.,19462,Fitness,Pacific Asia,India,327.75,327.75,113.0699997,South Asia,Smart watch,327.75
327.75,Sporting Goods,Puerto Rico,19461,Fitness,Pacific Asia,India,327.75,327.75,24.57999992,South Asia,Smart watch,327.75
324.4700012,Sporting Goods,EE. UU.,19460,Fitness,Pacific Asia,China,327.75,327.75,-97.33999634,Eastern Asia,Smart watch,327.75
321.2000122,Sporting Goods,EE. UU.,19459,Fitness,Pacific Asia,China,327.75,327.75,-425.5799866,Eastern Asia,Smart watch,327.75
317.9200134,Sporting Goods,Puerto Rico,19458,Fitness,Pacific Asia,Singapur,327.75,327.75,152.6000061,Southeast Asia,Smart watch,327.75
314.6400146,Sporting Goods,EE. UU.,19457,Fitness,Pacific Asia,India,327.75,327.75,151.0299988,South Asia,Smart watch,327.75
311.3599854,Sporting Goods,EE. UU.,19456,Fitness,Pacific Asia,Australia,327.75,327.75,62.27000046,Oceania,Smart watch,327.75
309.7200012,Sporting Goods,Puerto Rico,19455,Fitness,Pacific Asia,Australia,327.75,327.75,35,Oceania,Smart watch,327.75
304.8099976,Sporting Goods,EE. UU.,19454,Fitness,Pacific Asia,Australia,327.75,327.75,57.29999924,Oceania,Smart watch,327.75
298.25,Sporting Goods,EE. UU.,19453,Fitness,Pacific Asia,Singapur,327.75,327.75,143.1600037,Southeast Asia,Smart watch,327.75
294.980011,Sporting Goods,Puerto Rico,19452,Fitness,Pacific Asia,Singapur,327.75,327.75,135.6900024,Southeast Asia,Smart watch,327.75
288.4200134,Sporting Goods,EE. UU.,19451,Fitness,Pacific Asia,Indonesia,327.75,327.75,132.6699982,Southeast Asia,Smart watch,327.75
285.1400146,Sporting Goods,Puerto Rico,19450,Fitness,Pacific Asia,Indonesia,327.75,327.75,119.7600021,Southeast Asia,Smart watch,327.75
278.5899963,Sporting Goods,EE. UU.,19449,Fitness,Pacific Asia,Australia,327.75,327.75,31.47999954,Oceania,Smart watch,327.75
275.3099976,Sporting Goods,Puerto Rico,19448,Fitness,Pacific Asia,India,327.75,327.75,86.16999817,South Asia,Smart watch,327.75
272.0299988,Sporting Goods,EE. UU.,19447,Fitness,Pacific Asia,India,327.75,327.75,130.5800018,South Asia,Smart watch,327.75
268.7600098,Sporting Goods,EE. UU.,19446,Fitness,Pacific Asia,China,327.75,327.75,0,Eastern Asia,Smart watch,327.75
115.1800003,Cleats,Puerto Rico,9083,Apparel,Pacific Asia,India,59.99000168,119.9800034,-30.75,South Asia,Perfect Fitness Perfect Rip Deck,59.99000168
79.18000031,Shop By Sport,Puerto Rico,4741,Golf,Pacific Asia,Turquía,39.99000168,79.98000336,-122.7300034,West Asia,Under Armour Girls' Toddler Spine Surge Runni,39.99000168
96,Women's Apparel,Puerto Rico,639,Golf,Pacific Asia,Australia,50,100,33.59999847,Oceania,Nike Men's Dri-FIT Victory Golf Polo,50
75.98000336,Shop By Sport,Puerto Rico,9702,Golf,Pacific Asia,Turquía,39.99000168,79.98000336,24.69000053,West Asia,Under Armour Girls' Toddler Spine Surge Runni,39.99000168
91,Women's Apparel,Puerto Rico,9114,Golf,Pacific Asia,Mongolia,50,100,9.100000381,Eastern Asia,Nike Men's Dri-FIT Victory Golf Polo,50
87,Women's Apparel,Puerto Rico,1362,Golf,Pacific Asia,Turquía,50,100,-21.75,West Asia,Nike Men's Dri-FIT Victory Golf Polo,50
82,Women's Apparel,Puerto Rico,8011,Golf,Pacific Asia,India,50,100,6.150000095,South Asia,Nike Men's Dri-FIT Victory Golf Polo,50
74.68000031,Electronics,Puerto Rico,3296,Footwear,USCA,Estados Unidos,44.99000168,89.98000336,22.40999985,West of USA,Under Armour Men's Compression EV SL Slide,44.99000168
